sample_id,start,goal,workspace,obstacles,rrt_waypoints,llm_waypoints,m_diag,alpha,epsilon,alpha_bar,s_dyn,s_con,max_energy,q_dyn,q_con,bound_offset,safety_buffer_m,acceptable_M,accepted,llama_model_name,vllm_base_url,prompt
10,"{""x"":1.35,""y"":2.86,""z"":-0.25}","{""x"":0.31,""y"":3.5,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.01,3.28,-0.75],""max_corner"":[3.3,3.7,0.25],""size"":[0.29,0.42,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.33,0.37,-0.75],""max_corner"":[0.98,1.08,0.25],""size"":[0.65,0.71,1.0]}]","[{""x"":1.35,""y"":2.86,""z"":-0.25},{""x"":0.31,""y"":3.5,""z"":-0.25}]","[{""x"":1.35,""y"":2.86,""z"":-0.25},{""x"":0.31,""y"":3.5,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (1.35,2.86,-0.25), Goal: (0.31,3.50,-0.25), distance≈1.22m. Obstacles with x-y spans: 1 obstacle: x=[3.01,3.30], y=[3.28,3.70]. 2 obstacle: x=[0.33,0.98], y=[0.37,1.08].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
11,"{""x"":3.56,""y"":0.39,""z"":-0.25}","{""x"":1.5,""y"":1.81,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.57,1.5,-0.75],""max_corner"":[2.83,1.81,0.25],""size"":[0.26,0.3,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.12,0.13,-0.75],""max_corner"":[2.37,0.74,0.25],""size"":[0.25,0.6,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[0.8,0.12,-0.75],""max_corner"":[1.29,0.7,0.25],""size"":[0.49,0.58,1.0]}]","[{""x"":3.56,""y"":0.39,""z"":-0.25},{""x"":3.26,""y"":2.19,""z"":-0.25},{""x"":2.99,""y"":2.41,""z"":-0.25},{""x"":1.86,""y"":2.17,""z"":-0.25},{""x"":1.5,""y"":1.81,""z"":-0.25}]","[{""x"":3.56,""y"":0.39,""z"":-0.25},{""x"":3.33,""y"":2.26,""z"":-0.25},{""x"":2.03,""y"":2.44,""z"":-0.25},{""x"":1.5,""y"":1.81,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.176558,0.107027,0.031173,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (3.56,0.39,-0.25), Goal: (1.50,1.81,-0.25), distance≈2.50m. Obstacles with x-y spans: 1 obstacle: x=[2.57,2.83], y=[1.50,1.81]. 2 obstacle: x=[2.12,2.37], y=[0.13,0.74]. 3 obstacle: x=[0.80,1.29], y=[0.12,0.70].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
12,"{""x"":1.62,""y"":2.46,""z"":-0.25}","{""x"":3.17,""y"":2.34,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.82,1.56,-0.75],""max_corner"":[1.19,2.05,0.25],""size"":[0.38,0.49,1.0]}]","[{""x"":1.62,""y"":2.46,""z"":-0.25},{""x"":3.17,""y"":2.34,""z"":-0.25}]","[{""x"":1.62,""y"":2.46,""z"":-0.25},{""x"":3.17,""y"":2.34,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (1.62,2.46,-0.25), Goal: (3.17,2.34,-0.25), distance≈1.55m. Obstacles with x-y spans: 1 obstacle: x=[0.82,1.19], y=[1.56,2.05].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
13,"{""x"":3.44,""y"":0.91,""z"":-0.25}","{""x"":1.6,""y"":1.45,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.16,1.59,-0.75],""max_corner"":[2.5,2.04,0.25],""size"":[0.34,0.45,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.3,1.88,-0.75],""max_corner"":[1.84,2.53,0.25],""size"":[0.54,0.65,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[1.04,0.14,-0.75],""max_corner"":[1.71,0.83,0.25],""size"":[0.67,0.68,1.0]}]","[{""x"":3.44,""y"":0.91,""z"":-0.25},{""x"":3.14,""y"":3.41,""z"":-0.25},{""x"":0.84,""y"":2.94,""z"":-0.25},{""x"":0.84,""y"":1.42,""z"":-0.25},{""x"":1.6,""y"":1.45,""z"":-0.25}]","[{""x"":3.44,""y"":0.91,""z"":-0.25},{""x"":2.81,""y"":2.57,""z"":-0.25},{""x"":0.7,""y"":3.02,""z"":-0.25},{""x"":0.6,""y"":1.43,""z"":-0.25},{""x"":1.6,""y"":1.45,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.554896,1.688568,0.665744,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (3.44,0.91,-0.25), Goal: (1.60,1.45,-0.25), distance≈1.92m. Obstacles with x-y spans: 1 obstacle: x=[2.16,2.50], y=[1.59,2.04]. 2 obstacle: x=[1.30,1.84], y=[1.88,2.53]. 3 obstacle: x=[1.04,1.71], y=[0.14,0.83].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
14,"{""x"":2.28,""y"":0.02,""z"":-0.25}","{""x"":0.95,""y"":3.84,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.03,2.41,-0.75],""max_corner"":[3.63,2.77,0.25],""size"":[0.59,0.36,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.42,0.79,-0.75],""max_corner"":[1.81,1.25,0.25],""size"":[0.39,0.46,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[2.79,1.05,-0.75],""max_corner"":[3.04,1.72,0.25],""size"":[0.25,0.67,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[2.43,1.93,-0.75],""max_corner"":[2.93,2.42,0.25],""size"":[0.5,0.49,1.0]}]","[{""x"":2.28,""y"":0.02,""z"":-0.25},{""x"":0.94,""y"":0.18,""z"":-0.25},{""x"":0.95,""y"":3.84,""z"":-0.25}]","[{""x"":2.28,""y"":0.02,""z"":-0.25},{""x"":0.95,""y"":3.84,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.897275,2.898368,0.805102,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (2.28,0.02,-0.25), Goal: (0.95,3.84,-0.25), distance≈4.04m. Obstacles with x-y spans: 1 obstacle: x=[3.03,3.63], y=[2.41,2.77]. 2 obstacle: x=[1.42,1.81], y=[0.79,1.25]. 3 obstacle: x=[2.79,3.04], y=[1.05,1.72]. 4 obstacle: x=[2.43,2.93], y=[1.93,2.42].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
15,"{""x"":0.93,""y"":3.83,""z"":-0.25}","{""x"":2.31,""y"":2.45,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}",[],"[{""x"":0.93,""y"":3.83,""z"":-0.25},{""x"":2.31,""y"":2.45,""z"":-0.25}]","[{""x"":0.93,""y"":3.83,""z"":-0.25},{""x"":2.31,""y"":2.45,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (0.93,3.83,-0.25), Goal: (2.31,2.45,-0.25), distance≈1.95m. Obstacles with x-y spans: No obstacles currently detected.
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
16,"{""x"":0.15,""y"":2.06,""z"":-0.25}","{""x"":0.04,""y"":3.25,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.01,2.19,-0.75],""max_corner"":[2.38,2.89,0.25],""size"":[0.37,0.7,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.06,3.29,-0.75],""max_corner"":[3.54,3.87,0.25],""size"":[0.49,0.58,1.0]}]","[{""x"":0.15,""y"":2.06,""z"":-0.25},{""x"":0.04,""y"":3.25,""z"":-0.25}]","[{""x"":0.15,""y"":2.06,""z"":-0.25},{""x"":0.04,""y"":3.25,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (0.15,2.06,-0.25), Goal: (0.04,3.25,-0.25), distance≈1.20m. Obstacles with x-y spans: 1 obstacle: x=[2.01,2.38], y=[2.19,2.89]. 2 obstacle: x=[3.06,3.54], y=[3.29,3.87].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
17,"{""x"":2.79,""y"":3.95,""z"":-0.25}","{""x"":0.43,""y"":1.51,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}",[],"[{""x"":2.79,""y"":3.95,""z"":-0.25},{""x"":0.43,""y"":1.51,""z"":-0.25}]","[{""x"":2.79,""y"":3.95,""z"":-0.25},{""x"":0.43,""y"":1.51,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (2.79,3.95,-0.25), Goal: (0.43,1.51,-0.25), distance≈3.39m. Obstacles with x-y spans: No obstacles currently detected.
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
18,"{""x"":1.07,""y"":3.82,""z"":-0.25}","{""x"":2.63,""y"":2.1,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}",[],"[{""x"":1.07,""y"":3.82,""z"":-0.25},{""x"":2.63,""y"":2.1,""z"":-0.25}]","[{""x"":1.07,""y"":3.82,""z"":-0.25},{""x"":2.63,""y"":2.1,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (1.07,3.82,-0.25), Goal: (2.63,2.10,-0.25), distance≈2.32m. Obstacles with x-y spans: No obstacles currently detected.
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
19,"{""x"":0.19,""y"":0.12,""z"":-0.25}","{""x"":1.41,""y"":3.31,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.33,1.49,-0.75],""max_corner"":[2.07,1.96,0.25],""size"":[0.74,0.48,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.54,2.48,-0.75],""max_corner"":[3.13,2.74,0.25],""size"":[0.59,0.26,1.0]}]","[{""x"":0.19,""y"":0.12,""z"":-0.25},{""x"":0.96,""y"":2.59,""z"":-0.25},{""x"":1.41,""y"":3.31,""z"":-0.25}]","[{""x"":0.19,""y"":0.12,""z"":-0.25},{""x"":0.75,""y"":2.56,""z"":-0.25},{""x"":1.41,""y"":3.31,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.136893,0.067463,0.01874,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (0.19,0.12,-0.25), Goal: (1.41,3.31,-0.25), distance≈3.42m. Obstacles with x-y spans: 1 obstacle: x=[1.33,2.07], y=[1.49,1.96]. 2 obstacle: x=[2.54,3.13], y=[2.48,2.74].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
20,"{""x"":0.69,""y"":0.96,""z"":-0.25}","{""x"":1.69,""y"":2.6,""z"":-0.25}","{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25}","[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.41,3.13,-0.75],""max_corner"":[1.14,3.66,0.25],""size"":[0.73,0.53,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.25,1.83,-0.75],""max_corner"":[3.53,2.55,0.25],""size"":[0.28,0.72,1.0]}]","[{""x"":0.69,""y"":0.96,""z"":-0.25},{""x"":1.69,""y"":2.6,""z"":-0.25}]","[{""x"":0.69,""y"":0.96,""z"":-0.25},{""x"":1.69,""y"":2.6,""z"":-0.25}]","[1.0,1.0]",0.8,0.4,0.6,0.0,0.0,0.0,0.897275,2.898368,4.092603,0.4,True,False,rrt_planner,http://172.22.224.93:8000/v1,"You are an expert UAV pilot/planner. Generate sparse collision-free 2D routing waypoints for a quadrotor in NED frame assuming it is airborne at the provided start location. A separate module will interpolate them and generate dynamically feasible trajectories, so output only high-level waypoints.
Mission state: the UAV has already taken off and is holding hover at the start position. Use this hover position as the first waypoint/reference for planning. Workspace: x=[0.00,4.00]m, y=[0.00,4.00]m, z=-0.25 fixed. Start: (0.69,0.96,-0.25), Goal: (1.69,2.60,-0.25), distance≈1.92m. Obstacles with x-y spans: 1 obstacle: x=[0.41,1.14], y=[3.13,3.66]. 2 obstacle: x=[3.25,3.53], y=[1.83,2.55].
Constraints:
- all waypoints in NED frame, z must stay -0.25
- final waypoint must be goal coordinates
- maintain >=0.40m clearance from obstacle x-y boxes
- stay within workspace
- no waypoint should be within obstacle boxes, walls, or near corners
- prefer sparse, smooth, monotonic progress through open space
- return only the structured output requested by the response model"
